Despina,Alt
Dessie,Altadonna
Destiny,Altamirano
Detra,Altamiruno
Devin,Altaras
Devin,Altavilla
Devon,Altemus
Devon,Altenbach
Devona,Altenburg
Devora,Altenhofen
Devorah,Alter
Dewayne,Alteri
Dewey,Alterio
Dewitt,Alterman
Dexter,Altermatt
Dia,Altes
Diamond,Altew
Dian,Althaus
Diana,Althauser
Diane,Altheimer
Diann,Althiser
Dianna,Althoff
Dianne,Althouse
Dick,Altic
Diedra,Altice
Diedre,Altidor
Diego,Altier
Dierdre,Altieri
Digna,Altiery
Dillon,Altig
Dimple,Altimus
Dina,Altizer
Dinah,Altken
Dino,Altman
Dinorah,Altmann
Dion,Altmark
Dion,Altmiller
Dione,Altmire
Dionna,Alto
Dionne,Altobell
Dirk,Altobelli
Divina,Altobello
Dixie,Altom
Dodie,Altomare
Dollie,Altomari
Dolly,Altomonte
Dolores,Alton
Doloris,Altonen
Domenic,Altop
Domenica,Altreche
Dominga,Altringer
Domingo,Altro
Dominic,Altrogge
Dominica,Altschuler
