Dot,Alvizo
Dottie,Alvord
Dotty,Alvorez
Doug,Alwan
Douglas,Alwang
Douglass,Alward
Dovie,Alwardt
Doyle,Alway
Dreama,Alwazan
Drema,Alwin
Drew,Alwine
Drew,Aly
Drucilla,Alyea
Drusilla,Alzaga
Duane,Alzate
Dudley,Alzugaray
Dulce,Amabile
Dulcie,Amacher
Duncan,Amack
Dung,Amacker
Dusti,Amadeo
Dustin,Amadi
Dusty,Amadio
Dusty,Amado
Dwain,Amadon
Dwana,Amador
Dwayne,Amailla
Dwight,Amaker
Dyan,Amalfitano
Dylan,Amalong
Earl,Aman
Earle,Amancio
Earlean,Amann
Earleen,Amano
Earlene,Amante
Earlie,Amanza
Earline,Amar
Earnest,Amara
Earnestine,Amaral
Eartha,Amarante
Easter,Amargo
Eboni,Amari
Ebonie,Amarian
Ebony,Amarillas
Echo,Amaro
Ed,Amas
Eda,Amason
Edda,Amass
Eddie,Amat
Eddie,Amati
Eddy,Amato
Edelmira,Amauty
Eden,Amavisca
Edgar,Amaya
