Giovanni,Ansley
Gisela,Anslinger
Gisele,Ansloan
Giselle,Anslow
Gita,Ansoategui
Giuseppe,Anson
Giuseppina,Anspach
Gladis,Anspaugh
Glady,Anstead
Gladys,Anstett
Glayds,Anstey
Glen,Anstine
Glenda,Antal
Glendora,Antao
Glenn,Antaya
Glenn,Antczak
Glenna,Anteby
Glennie,Antee
Glennis,Antell
Glinda,Antenor
Gloria,Antenucci
Glory,Anter
Glynda,Antes
Glynis,Anthes
Golda,Anthis
Golden,Anthon
Goldie,Anthony
Gonzalo,Antich
Gordon,Antignani
Grace,Antigua
Gracia,Antila
Gracie,Antill
Graciela,Antilla
Grady,Antillon
Graham,Antinarelli
Graig,Antinore
Grant,Antinoro
Granville,Antione
Grayce,Antis
Grazyna,Antista
Greg,Antkowiak
Gregg,Antle
Gregoria,Antley
Gregorio,Antman
Gregory,Antoine
Gregory,Antolak
Greta,Antolik
Gretchen,Antolin
Gretta,Antolini
Gricelda,Antolos
Grisel,Anton
Griselda,Antona
Grover,Antonacci
Guadalupe,Antonaccio
