Lisbeth,Avona
Lise,Avrett
Lisette,Avril
Lisha,Aw
Lissa,Awad
Lissette,Awada
Lita,Awai
Livia,Awalt
Liz,Awbrey
Liza,Awe
Lizabeth,Awender
Lizbeth,Awkard
Lizeth,Awkward
Lizette,Awong
Lizzette,Awtrey
Lizzie,Awtry
Lloyd,Awyie
Loan,Ax
Logan,Axe
Logan,Axel
Loida,Axelrad
Lois,Axelrod
Loise,Axelsen
Lola,Axelson
Lolita,Axford
Loma,Axley
Lon,Axline
Lona,Axman
Londa,Axon
Long,Axsom
Loni,Axson
Lonna,Axt
Lonnie,Axtell
Lonnie,Axthelm
Lonny,Axtman
Lora,Axton
Loraine,Ayaia
Loralee,Ayala
Lore,Ayalla
Lorean,Ayars
Loree,Ayarza
Loreen,Aybar
Lorelei,Aycock
Loren,Aycox
Loren,Aydelott
Lorena,Aydin
Lorene,Aydlett
Lorenza,Aydt
Lorenzo,Aye
Loreta,Ayele
Loretta,Ayer
Lorette,Ayers
Lori,Ayersman
Loria,Ayhens
